Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC Part #
"10u","Capacitor SMD 0805","C100","CAP_0805","CAP_0805","1","C15850"
"100n","Capacitor SMD 0603","C101, C102","CAP_0603","CAP_0603","2","C14663"
"22u","Capacitor SMD 0603","C103","CAP_0603","CAP_0603","1","C59461"
"1u","Capacitor SMD 0402","C200, C208, C218","CAP_0402","CAP_0402","3","C52923"
"100n","Capacitor SMD 0402","C201, C202, C203, C204, C207, C211, C216, C217, C300, C400, C401","CAP_0402","CAP_0402","11","C1525"
"10u","Capacitor SMD 0603","C206","CAP_0603","CAP_0603","1","C19702"
"3p3","Capacitor SMD 0402","C209, C210","CAP_0402","CAP_0402","2","C1565"
"10p","Capacitor SMD 0402","C212, C213","CAP_0402","CAP_0402","2","C32949"
"DNP","Capacitor SMD 0603","C214, C215","CAP_0603","CAP_0603","2",""
"10n","Capacitor SMD 0402","C301","CAP_0402","CAP_0402","1","C15195"
"2u2","Capacitor SMD 0402","C302","CAP_0402","CAP_0402","1","C12530"
"BLUE","LED 0805 BLUE SMD","D100","LED_0805_BLUE","LED_0805_BLUE","1","C205441"
"USBLC6-2SC6","Low-Capacitance ESD Protection USB","D200","SOT-23-6","USBLC6-2SC6","1","C2827654"
"100R @ 100 MHz","Ferrite Bead SMD 0805","FB100","FB_0805","FB_0805","1","C1015"
"TYPE-C-31-M-12","USB Type C Connector Horizontal SMT","J200","TYPE-C-31-M-12","TYPE-C-31-M-12","1","C165948"
"2n2","Inductor SMD 0402","L200, L201","IND_0402","IND_0402","2","C90191"
"AO3401A","P-Channel MOSFET, 30 V, 4 A, -55 to 150 degC, 3-Pin SOT-23-3L, RoHS, Tape and Reel","Q100","AO-SOT-23-3L_V","CMP-2000-05778-1","1","C15127"
"1k","Resistor SMD 0402","R100, R400","RES_0402","RES_0402","2","C11702"
"0","Resistor SMD 0402","R200, R201, R202, R203, R204, R208, R209","RES_0402","RES_0402","7","C17168"
"22","Resistor SMD 0402","R205","RES_0402","RES_0402","1","C25092"
"5k1","Resistor SMD 0402","R206, R207, R210, R211, R213, R214","RES_0402","RES_0402","6","C25905"
"10k","Resistor SMD 0402","R212","RES_0402","RES_0402","1","C25744"
"SW SPST SMD Terreneitor","SPST SW TS-1187A-B-A-B","SW200, SW201","SW SPST SMD Terreneitor","SW SPST SMD Terreneitor","2","C318884"
"TPS73733DCQR","Single Output LDO, 1 A, Fixed 3.3 V Output, 2.2 to 5.5 V Input, with Reverse Current Protection, 6-pin SOT-223 (DCQ), -40 to 125 degC, Green (RoHS & no Sb/Br)","U100","DCQ0006A_N","CMP-0395-00300-2","1","C31334"
"W25Q128JVSIQ","128M-BIT SERIAL FLASH MEMORY WITH DUAL/QUAD SPI & QPI & DTR SOIC-8 208 MIL","U200","SOIC8_208 mil","W25Q128JVSIQ","1","C97521"
"ESP32-C3","Ultra�Low�Power SoC with RISC�V Single�Core CPU Supporting IEEE 802.11b/g/n (2.4 GHz Wi�Fi) and Bluetooth� 5 (LE)","U201","QFN32-5x5","ESP32-C3","1","C2838500"
"SK6805-EC15","","U202","SK6805-EC15","SK6805-EC15","1","C2890035"
"ICM-42688-P","6-axis MEMS IMU (Accelerometer & Gyroscope)","U300","LGA14 (2.5mm x 3mm)","ICM-42688-P","1","C1850418"
"DRV8837DSGR","IC MOTOR DRIVER PAR 8WSON","U400","FP-DSG0008A-MFG","CMP-04915-000004-1","1","C39159"
"40MHz","Crystal SMD 40MHz 10PPM 12pF 3225","X200","XTAL_3225","TSX-3225_24.0000MF15X-AC","1","C5186937"